frame,track_id,x1,y1,x2,y2,xc,yc,w,h,conf
mit_ipswich_545246_slow_frame_000093,7,253,156,317,179,285.92,168.32,64.12,23.3,0.3038
mit_ipswich_545246_slow_frame_000094,7,245,154,318,180,281.8,167.37,72.84,26.01,0.7028
mit_ipswich_545246_slow_frame_000095,7,237,152,318,180,278.07,166.67,80.87,27.52,0.6951
mit_ipswich_545246_slow_frame_000096,7,232,152,318,180,275.64,166.52,85.79,28.36,0.7683
mit_ipswich_545246_slow_frame_000097,7,227,152,318,181,273.15,166.91,90.31,28.51,0.7273
mit_ipswich_545246_slow_frame_000098,7,225,152,315,181,270.56,167.2,89.92,28.43,0.6813
mit_ipswich_545246_slow_frame_000099,7,221,154,310,181,265.96,167.79,88.44,27.37,0.663
mit_ipswich_545246_slow_frame_000100,7,214,154,305,181,259.72,168.28,90.89,26.68,0.4133
mit_ipswich_545246_slow_frame_000111,7,175,160,288,192,231.83,176.5,112.85,32.2,0.5849
mit_ipswich_545246_slow_frame_000112,7,171,161,287,194,229.24,178.06,116.36,33.65,0.6675
mit_ipswich_545246_slow_frame_000113,7,166,163,287,197,227.25,180.23,120.92,34.39,0.6921
mit_ipswich_545246_slow_frame_000114,7,167,163,287,198,227.32,181.13,120.22,35.41,0.6415
mit_ipswich_545246_slow_frame_000115,7,165,163,286,198,225.9,181.09,121.37,35.36,0.4692
mit_ipswich_545246_slow_frame_000116,7,164,163,284,200,224.56,181.87,120.53,36.83,0.8014
mit_ipswich_545246_slow_frame_000117,7,162,162,283,201,223.03,182.07,120.53,38.55,0.8171
mit_ipswich_545246_slow_frame_000118,7,161,161,282,201,221.8,181.69,121.26,40.18,0.7494
mit_ipswich_545246_slow_frame_000119,7,160,161,281,201,220.91,181.18,121.36,40.12,0.727
mit_ipswich_545246_slow_frame_000120,7,158,161,279,198,219.18,179.76,121.21,36.9,0.566
mit_ipswich_545246_slow_frame_000123,7,152,158,271,196,211.89,177.42,118.48,37.81,0.3858
mit_ipswich_545246_slow_frame_000126,7,142,158,254,191,198.35,174.99,112.39,32.68,0.6457
mit_ipswich_545246_slow_frame_000129,7,129,154,251,186,190.5,170.77,121.98,32.07,0.5969
mit_ipswich_545246_slow_frame_000136,7,92,147,205,183,148.92,165.45,112.32,35.65,0.7719
mit_ipswich_545246_slow_frame_000137,8,296,94,319,142,307.76,118.94,23.1,47.95,0.3061
mit_ipswich_545246_slow_frame_000138,7,83,147,192,182,137.83,165.12,108.93,34.59,0.4504
mit_ipswich_545246_slow_frame_000139,7,78,147,184,181,131.55,164.86,105.74,34.08,0.4159
mit_ipswich_545246_slow_frame_000141,7,68,149,164,178,116.1,163.67,95.94,29.31,0.5989
mit_ipswich_545246_slow_frame_000142,7,63,149,156,177,110.07,163.37,93.84,27.67,0.7158
